tweets,labels
hahame tsi twi papatsen dn  ei na wote twi saa na na wode french na ereyi me twi ano yi “purplepinqui mabr papa”,Positive
medi wakyi di makyi bi wailol hus dis,Positive
saa saa na wo sch no yɛ sɛn   metare wakyi dada “ oh saa ɛneɛ okatakyie ff  more,Positive
metare wakyi dada “ oh saa ɛneɛ okatakyie ff bak wai   me nso me yɛ owarean o”,Positive
oh saa ɛneɛ okatakyie ff bak wai   me nso me yɛ owarean o,Positive
aane lol,Positive
ℓ☺ℓ done    medi wakyi di makyi bi wai,Positive
ɔtwee anansesɛm mu no wɔtaafrɛ no ɔtwee agyanka “  wats d twi name for antelope”,Positive
wats d twi name for antelope,Positive
je vous suis suivez sil vous plaît revenir “ je ne comprehend pas  purplepinqui medi wakyi du makyi bi wai”k,Positive
yoo asɛm papa “ yess boss mi taa wakyi gidigidi kraa    medi wakyi di makyi bi wai”,Positive
lol yoo medi wakyi,Positive
done   not done “ done    medi wakyi di makyi bi wai”,Positive
not done “ done    medi wakyi di makyi bi wai”,Positive
done    medi wakyi di makyi bi wai,Positive
oh chale   ff bk skills dat lol  nayorm medi wakyi lol   nayorm medi wakyi di makyi bi wai,Positive
ff bk skills dat lol   medi wakyi lol   nayorm medi wakyi di makyi bi wai,Positive
yoo ahoɔfɛ “   medi wakyi di makyi bi wailoolma te ”,Positive
hahaha yoo mateffn bak wai    medi wakyi di makyi bi wai,Positive
lolyooo mate  medi wakyi di makyi bi wai,Positive
mmo ne yɔ  “  mate wai done”,Positive
mate wai done,Positive
loldone   medi wakyi di makyi bi wai,Positive
clouds “  wats mununkum”,Positive
wats mununkum,Positive
hahahahaha yekuromu medi wakyi dodo,Positive
mmo wayɛ adeɛ “ done   medi wakyi di makyi bi wai”,Positive
following u pls ffbck “ i cant read oh english pls    medi wakyi di makyi bi wai”,Positive
i cant read oh english pls    medi wakyi di makyi bi wai,Positive
mmo ne yɔ “ done    medi wakyi di makyi bi wai”,Positive
yoo “ nye me se gbe ma o    medi wakyi di makyi bi wai”,Positive
me reba “ looool u know wat i read u wud eat some of ma waakye looool    medi wakyi di makyi bi wai”,Positive
looool u know wat i read u wud eat some of ma waakye looool    medi wakyi di makyi bi wai,Positive
your welcome   meda woase sɛ wodii makyi,Positive
medi wakyi dada twi no yɛ “  aseda biaa ni ho wonsu di makyi ma me wai lol hope i tri,Positive
medi wakyi dada twi no yɛ “  aseda biaa ni ho wonsu di makyi ma me wai lol hope i tried with the twi”,Positive
aseda biaa ni ho wonsu di makyi ma me wai lol hope i tried with the twi,Positive
ampa megye to mu “  no weapon forged against u prospers”,Positive
ghana adwumayɛfuoɔ nnim sɛ nea wɔgyegye nnipa so oo mmɔbɔ “ ghanaian customer service…pt,Negative
hey yaa meshɛ hɔ oo ɛte sɛn “ im wondering if uncle  has left twitter”,Neutral
ok   that me p do do  you know what   bt i know☺  wopɛ do do,Positive
that me p do do  you know what   bt i know☺  wopɛ do do,Positive
you know what   bt i know☺  wopɛ do do,Positive
bt i know☺  wopɛ do do,Positive
me nso saa “ mnny gay ooo  medi wakyi di makyi bi wai”,Positive
hiplz i nid u help to translate words frm eng to twimipa wokyw boa me,Positive
chaley  kaakaamotobi thats masquerade,Positive
hwan na ɔka ho bio “   another twi professional,Positive
yes aboa biara rebɛwu a ɔpere for ndc  onipa rebɛwu a ɔpere,Positive
"onyame nhyira nka mo nyinaa monsom no ɛnɛ kwasie yi na onyame ayɛ bi ama mo
saa woahun “ my moders favourite saying paa oo “ ɛnsa teaa nyinaa nyɛ pɛ””
my moders favourite saying paa oo “ ɛnsa teaa nyinaa nyɛ pɛ”
ɔba nyansafoɔ yɛbu no bɛ yɛnka no asɛm
yoo    papa paa menuawh ne video anim bosomee a ba yaame gu so a meretwa
ne tie wie mekond adebi  somee a ba yaame gu so a meretwa
wei deɛ afrobeat paa    ne tie wie mekond adebi  safoɔ yɛbu no bɛ yɛnka no asɛm
yoo mɛkɔ akɔ yɛ ɔtumfoɔ kyeame   k som otumfo wai  ɔba nyansafoɔ yɛbu no bɛ yɛnka no asɛm
ɔba nyansafoɔ yɛbu no bɛ yɛnka no asɛm
kyɛkyɛn bi adi mawu
k som otumfo wai  ɔba nyansafoɔ yɛbu no bɛ yɛnka no asɛm
ɔba nyansafoɔ yɛbu no bɛ yɛnka no asɛm
ɔba nyansafoɔ yɛbu no bɛ yɛnka no asɛm
agya bɔfoɔ a ɔhunta dua akyiri obi anhunu wo a onyame deɛ  wahunu wo
ɛhia wo a ɛnwu
efie ne fie
efie ne fie
efie ne fie
efie ne fie
ɛnsa teaa nyinaa nyɛ pɛ
obi refrɛ ne nyame no na obi nnyina hɔampa",Positive
oh saa  nyɛ me na metweeteɛ o  kayquan ka ne w twi mu   one user followed me and one,Positive
nsɛnkwaafoɔ yɛ comedian kaakaamotobi yɛ obi a wahyɛ ntaadeɛ huuhuuhu  chaley  kaakaamotobi thats masquerade,Positive
yea twi in its pure form is incredibly rich  interesting  deɛ ɔrepam wo mmerɛe a ɛbɛyɛ dɛn na woagye wo ahome,Positive
its bad learning from him   nigga if ur twi is bad see   panyintoto nyame ne me hyfo,Positive
messi should see this   wote faako a wote wadeɛ so,Positive
wonny easy  ohia asoma woɔ ɛbɛyɛ dɛn wonkɔ,Positive
wobɛ tumi akora nsɛmfua no sɛ keyboard shocuts wɔ iphone mu te sɛ deɛ mayɛ no  “  medaase”,Positive
hmm twitter na twaa wɔn miensa din mu “ wei de wab ka   today stats one new follower and  new unfollowers ”,Positive
sɛ wo bu nyame kwasia kɔtɔ hwɛ wo tois the proverb correct,Positive
this is how i will defend my ceificate after school  nsateaa du nyinaa nyɛ pɛ,Positive
ɔkoo nyankopɔn “  whats god of war in akan”,Positive
😂😂😂😂😂😂 “ this is how i will defend my ceificate after school  nsateaa du nyinaa nyɛ pɛ”,Positive
daabi o “ chaleu gt ghanaian language keyboard or wat   ohia yɛdi no wɔ fie na yɛnni no wɔ dwa so”,Positive
jdm wate make ayariga min of agrikelcha  baako mmu ɔman,Neutral
awoda pa “  how do you say happy bihday in twi”,Positive
wonte twi “ today ive made uncle  tweet in englishi just couldnt understand the twi koraa”,Positive
today ive made uncle  tweet in englishi just couldnt understand the twi koraa,Positive
nw ff  ff bak obengfuo,Positive
wats d english name for prɛkɛsɛ sorowisafomwisaamp twintia pleasetellme,Positive
wo y guy wate  meyɛ ɔkatakyie o “ any akatakyie on ma tl no”,Positive
lmfaoi see cc  😂😂😂  wonni sika a wose nsa nyɛ dɛ,Positive
yeada reciprocity stuff  obi yɛ wo papa a na waha wo,Positive
sɛ kɔteɛ ne ɛtwɛ di kokoam agorɔ a ɔkra firi dampareɛ bɛdi adanseɛ kokoam  secret ɔkra  soul dampareɛ  aboveheavens,Positive
aane  saa woahunu “ wo y guy wate  meyɛ ɔkatakyie o “ any akatakyie on ma tl no””,Positive
ok will learn from both   of course panyintoto saa mohhm   hehe  cont,Positive
"medo wiase ahomatiaa  pls help me write dis in english
tumi nyinaa firi twereduampɔn nyame hɔ enti yɛnsom to ɛnɛ kwasie yi
tumi nyinaa firi twereduampɔn nyame hɔ enti yɛnsom to ɛnɛ kwasie yi
tumi nyinaa firi twereduampɔn nyame hɔ enti yɛnsom to ɛnɛ kwasie yi
gt amazing adidas ambassador amp aspiring athlete mfg interview glenn owusu  s
ff bk
agorɔ bi ma nipa fɔn
agorɔ bi ma nipa fɔn
agorɔ bi ma nipa fɔn
agorɔ bi ma nipa fɔn
agorɔ bi ma nipa fɔn
wats fdwo  agorɔ a ɛyɛ dɛ na ɛkum fɔdwoɔ",Positive
mmo  sɛbe  to sɛbe woate  apuuwode ahyɛ me twɛmu awie no suck my dick now,Neutral
kwame tua te a na aban ate kwame tua was a traitor who leaked information to the british during the asante wars and thi,Positive
please send me the twi alphabets,Positive
ɛɔɛɔ “ please send me the twi alphabets,Positive
megye wo so me nkoaa me hemaa “ goodmorning uncle  ”,Positive
daaabi daabidea wonim no obi nso nnim  but all the same is good to take it as it is,Positive
now this is funny “ prako nnom nsa mma abirekyie mmoro”,Positive
at all   obi se nakoa ne wo na ɛyɛ nokorɛ a ɔnnii wo atɛm,Positive
ɛyɛ ɛbɛ ɛnsa ankɔ a ɛnsa mma wonnya biribi kwa   hmm does biribi always have to si for biribi to y yie hmmm,Positive
ɛkyerɛ sɛ wonnim asa koraa a ɛnsɛe hwee   obengfo pls what is the meaning of the saying asa bone nkum asaase,Positive
u want to challenge   εtwε a ne taste εyε peppery paa akwasi wei deε wanntry,Neutral
legit»   sanbɔɔdo “  obenfo what is  signboard in twi”,Positive
brilliant   fɛfɛ na ɛyɛ fɛ nti na ɔdamani tu mmirika a ɔsɔ ne nufu na ɛnyɛ sɛ ɛbɛte atɔ ɔdamani  ɔbaa a ɔdi…,Positive
kurotwiamansa tɔ nsuo mu a ne ho na ɛfɔ nanso ne ho nsesaneɛ deɛ ɛwɔ hɔ daa kurotwiamansa  leopard,Positive
we all love this    borɔdekɔkɔɔ ne nkateɛ nnyae dɛ yɛ da,Positive
rofff lunch bro   ei trotromate gyama wopɛ kɔkɔɔ ne nkateɛ paa,Positive
ne ho yɛ “ fr nu ehh  wo ani nka anaa “ someone should call me eh””,Positive
yessiiiirrr   wode kokromotie kɔ ayie a yɛde sotorɔ na gya wo kwan,Positive
thats deep meehnnn    sɛ deɛ nsuo yɛɛ nkyene no saa ara na awia bɛyɛ nkuto,Positive
definitely hanging nail syndrome  “ akyea a na ɛmmuiɛ” curved but not broken,Positive
interesting  deɛ ɔrepam wo mmerɛe a ɛbɛyɛ dɛn na woagye wo ahome,Positive
“ ɛtire nteeɛ a yɛnnyae ɛkyɛ soa” what does this sentence mean,Positive
wiase yɛdɛ anaa abrabɔ pa “  how do you say life is good in twi”,Positive
chaleu gt ghanaian language keyboard or wat   ohia yɛdi no wɔ fie na yɛnni no wɔ dwa so,Positive
me mawo gud mornin,Positive
ka ne w twi mu   one user followed me and one user unfollowed me today checked via,Neutral
naaa dat cant beitsyka wo baako aawofre mprenuhehehehehehehe,Positive
tweetlikeyour    kuro mu yɛ din a na asɛm wɔ mu,Positive
im an exception tho  abɔfra nsɛ oni a ɔsɛ ɔse,Positive
hehehee “ rofff lunch bro   ei trotromate gyama wopɛ kɔkɔɔ ne nkateɛ paa”,Positive
aane “  yoo ma ti i hope sɛ biribi ara da bim”,Positive
fufuo nko ara nnante better than jollof thothats ut,Positive
mete apɔ na wo ɛ “ hey twi prof wadup   ɛpono bi mu to a ɛpono bi bue”,Positive
ya obi adeɛ “  me mawo gud mornin”,Positive
i swear  awerɛkyekyerɛ firi onipa ho,Positive
a twi teacher kum professor from far away london hmmmmm,Positive
classic   legit»   sanbɔɔdo “  obenfo what is  signboard in twi”,Positive
😹😹😹😹😹   this is how i will defend my ceificate after school  nsateaa du nyinaa nyɛ pɛ,Positive
ne mienu nyinaa wɔ mu masa ne makɔsa yɛ pɛ  yfunu bͻne nnim s masa or   yafunu bɔne nnim sɛ makɔsa,Positive
di meh tsi bi  dunno if i got it  kindly ff back,Positive
typicalashantiboy   ɔkraman fa samina a ɛkura no kwa ɔnni ntoma na ɔde asi,Positive
me inbox wo a nk,Positive
ɛɔɛɔ “ twi fonts  can i get some   obi yɛ wo papa a na waha wo”,Positive
twi doctor   asuogya nko ne nasaase,Positive
lmaooo truth  wo kraman se ɔbɛkyere sono ama wo a ɔredaadaa wo,Positive
ɛyɛ ɛbɛ ɛnsa ankɔ a ɛnsa mma wonnya biribi kwa   hmm does biribi always have to si for biribi t…,Positive
aberantie what is the colour brown in twi,Positive
degree twi   dis one diierr more than elective twi o  onyame nhyɛ cont,Positive
word   obi mpɛ ntɛm mfa akyekyedeɛ,Positive
try again “  me inbox wo a nk”,Positive
ɛsan yɛ alphabet  nsmfua is words or  nsɛmfua   na mepakyw yka alphabets w twi mu sn,Positive
ft  amp   magma prod gmk,Positive
dis one diierr more than elective twi o  onyame nhyɛ wo bɔ a ɔnni so da ɛno nti nya gyedie ma no na som no ɛnɛ kwasie yi,Positive
mate “  hiplz i nid u help to translate words frm eng to twimipa wokyw boa me”,Positive
mati  ne ho yɛ “ fr nu ehh  wo ani nka anaa “ someone should call me eh”,Positive
abg wch language b dis wan again   sɛdeɛ sekan teɛ no saara nso na bɔha teɛ,Positive
aane me y burger highlife specialist wai  wote firii amakye dede hɔ “ amakye dede  adukuro mu nsuo akɔnɔ,Positive
track ohia yɛ ya — koo nimo nwom a nyansasɛm wɔ mu no bi ni tie bi ɛ  …,Positive
ɔko na ɛkyerɛ nsese nsese  planning,Positive
anaaa me boa    nyanyankyerɛ   whats scorpion in twi,Positive
anka mɛba nanso mantwerɛ me din wɔ abatoɔ nwoma no mu bi “  massa hrs away twa tekit na bra”,Positive
fior lool naah  lol anoda medicine std  c dis  onipa nkyɛ na wadi amia,Positive
i feel u“ tɛkrɛma a yɛde tutu ka no nyɛ ɛno na yɛde pɛ bosea”,Positive
what he said   deɛ yɛdeyɛ kɔtɔkorɔ no yɛnnyi no aborɔ,Positive
mente enyeresi papa o ah like seriously herrr,Positive
nana mate  ɛyɛ a to sɛbe “clitoriadickson wo kɔte  clitoriadickson  i insure am,Positive
true kwaseabuo nti na yɛsi ɔhene,Positive
tweet after breaking fast 》》 fufuo akontaa yɛbu no waduro mu,Positive
ɛyɛ a to sɛbe “ wo kɔte  clitoriadickson  i insure amwt ma wife go chop hw”,Positive
replaceahandlewithchicken chickenwoha  gt,Positive
sexual “ baabi a adeɛ hyɛ no woamfa anhyɛ hɔ a ɛfiri tɔ”,Positive
sɛ yɛka sɛ yɛrewe dua na ɛn nsoɛ     borɔferɛ a ɛyɛ dɛ na dua da aseɛ duatree abaastick de w he na y,Positive
ananse stories hate talking    anansesɛm kyiri kasa,Positive
borɔdekɔkɔɔ ne nkateɛ nnyae dɛ yɛ da  snlnjaqd yummy,Positive
lol anoda medicine std  c dis  onipa nkyɛ na wadi amia,Positive
“ ɔbaa ahoɔden wɔ ne natofo mu”ltltwhat is atofo tell me naw,Positive
lol the clique   this is how i will defend my ceificate after school  nsateaa du nyinaa nyɛ pɛ,Positive
shouldnt it be onnim and obewu,Neutral
reading anansesɛm on    s tumblr pageit makes me so happy that my twi reading and comprehension abiliti,Positive
you meant to say sumn lyk dis ryt “ korɔnobɔ na ɛyɛ aniwuo na nyɛ ohia”,Positive
yoo   aane me y burger highlife specialist wai  wote firii amakye dede cont,Positive
hyoa nyɛ hwoa  lmao   ote ne hwoa so yawsosa messi should see this   wote faako a wote wadeɛ so,Positive
he is a pro   u want to challenge   εtwε a ne taste εyε peppery paa akwasi wei deε wanntry,Negative
sɛbe “ to sɛbe woate “ apuu wode ahyɛ me twɛmu awie no “ wordsaftersex suck my dick now”””,Neutral
store the alphabets so you can cut and paste when youre writing “  menti de worekyer no ase”,Positive
deɛ wawe kɔtɔ ka sɛ ɔbɛwe koraa a yɛnnye no akyinne koraa  calabash,Positive
ɛɔɛɔ store them as keyboard shocuts  “  i need the twi alphabets for my iphone me srwo boa me”,Positive
lmao   ote ne hwoa so yawsosa messi should see this   wote faako a wote wadeɛ so,Positive
fr nu ehh  wo ani nka anaa “ someone should call me eh”,Positive
ɛno ara ne no “  so if i wanna say hey booits hey mpena”,Positive
yoo ma ti i hope sɛ biribi ara da bim,Positive
nsɛnkwaafoɔ yɛ comedian kaakaamotobi yɛ obi a wahyɛ ntaadeɛ huuhuuhu  chaley  kaakaamotobi tha…,Positive
yea twi in its pure form is incredibly rich  interesting  deɛ ɔrepam wo mmerɛe a ɛbɛyɛ dɛn n,Positive
not all  mmaa pɛ deɛ adeɛ wɔ,Positive
video  benkmoni ft bigg d winclluminati illuminati coverdir by jeneral jay,Positive
clapping for you 👏👏👏👏“ brilliant   fɛfɛ na ɛyɛ fɛ nti na ɔdamani tu mmirika a ɔsɔ ne nufu na ɛnyɛ sɛ ɛbɛte a,Positive
both right  hmm mate “  naaa dat cant beitsyka wo baako aawofre mprenuhehehehehehehe”,Positive
saa mohhm   hehe  yɛ me nua panyin oo panyintoto snr himself   cont,Positive
nffw  kfb nd teach me teamtwi,Positive
but i resemble a friend of my father though amazing  abɔfra nsɛ oni a ɔsɛ ɔse,Positive
fact   obi mmɔ obi bra mma no,Positive
stl sleeping  twitter kurom ha ayɛ din paa na kurumfoɔ wɔ hen,Positive
thats exactly what i wrote but with the correct twi alphabets “  shouldnt it be onnim and obewu”,Positive
many hap…,Positive
woy brutal asamoa kkte,Positive
nyame nhyira wo paa   montie twi teacher nwom foforɔ no bi wotie a na watweete — anigye fata wo,Positive
borɔferɛ a ɛyɛ dɛ na dua da aseɛ duatree abaastick de w he na y,Positive
i need the twi alphabets for my iphone me srwo boa me,Positive
nice  abirekyie se ɔyɛɛ sɛ nantwie a anka gye sɛ ne nwoma na ɛbɛfiri serɛm aba asante,Positive
wei de wab ka   today stats one new follower and  new unfollowers via,Positive
twitter mma kwan mma wo ntwerɛ nsɛmfua pii “  mr obeng try give interpretations alsoplease”,Positive
daabi o “ chaleu gt ghanaian language keyboard or wat   ohia yɛdi no wɔ fie na yɛnni no w,Positive
deep  aboa patuo muna wo a wonhunu,Positive
massa hrs away twa tekit na bra,Positive
wobɛtwa kontompo ahurihiri deɛ ka nokwerɛ na gyina faakoheerrhhdeepp,Positive
keep em coming mo ni yo,Positive
lmaooo   this is how i will defend my ceificate after school  nsateaa du nyinaa nyɛ pɛ,Positive
meyɛ ɔykerɛkyerɛfoɔ na ɛnyɛ twi mu “ twi doctor   asuogya nko ne nasaase”,Positive
does anyone know the meaning of appruuukusucc  cc,Positive
ɛbɛ a matweete seesei ara no na ɛwɔ mu “   sɛ wo bu nyame kwasia kɔtɔ hwɛ wo tois the proverb correct”,Positive
nyɛ me na metweeteɛ o   ka ne w twi mu   one user followed me and one cont  syzt,Positive
sanbɔɔdo “  obenfo what is  signboard in twi” hahahahahahahahhahaha ,Positive
nsmfua is words or  nsɛmfua “  na mepakyw yka alphabets w twi mu sn”,Positive
"akwadaa nhwɛ kwansɛn mu kwa
yɛda awurade ase na sukuu mu ɛ   nyame adom ooo   ahoɔfɛ wo ho te sɛn    heeeyaaaa
nyame adom ooo   ahoɔfɛ wo ho te sɛn    heeeyaaaa
ahoɔfɛ wo ho te sɛn    heeeyaaaa
heeeyaaaa
yɛnkoto a yɛnna
ɔpatafoɔ di abaa
ɔpatafoɔ di abaa
ɔpatafoɔ di abaa
ɔpatafoɔ di abaa
owuo ansi napakan amma baakofoɔ
owuo ansi napakan amma baakofoɔ
its official   mixtape  soul sitopenuplisten download gtgtgt  safoɔ yɛbu no bɛ yɛnka no asɛm",Positive
wabisasɛm yi deɛ manhunu fakyɛ me ɛyɛ dodoeɛ anaa dɔteɛ “ aberantie what is the colour brown in twi,Positive
how can i get that twi keyboard,Positive
ka kyerɛ no sɛ ɔnwe tweapea na kaka no bɛkɔ “ kaka do you“ the dentist”” lmaou mean chewing stick,Positive
deɛ ɔwɔ aka no suro sonsono “  pls help me translate disonce bitten twice shy”,Positive
elaborate this   yɛmfa mmirika nkɔto ɔtwe,Positive
ɛɔɛɔ copy and paste “  manager where are you getting your letters from”,Positive
its nsia actually  aduonum nsia   ɛnɛ  ɔbɛnim  yɛ mfie aduonum enum a ghana nyaa fawohodie,Positive
hahahaha    i dont know if theres a living corpse “ touching a dead corpseeeeeei”,Neutral
mato anansesɛm foforɔ nnɛ nti momma mo anan nyɛ atenten na monkɔ kan no wɔ me tumblr blɔgo so,Positive
tell this to general patreaus “ akɔnɔdeɛ frɛfrɛ mmusuo”,Positive
this  gt  aboa akyekyedeɛ koraa wɔ ne dɔfo,Positive
the most realest akangtgtgt   owuo apakan yɛnsoa no ɔbaakofoɔ,Positive
loldoes d smoke behave in some way  ogya a ɛbɛdɛre no ne wisie nko,Positive
hmm mate “  naaa dat cant beitsyka wo baako aawofre mprenuhehehehehehehe”,Positive
deeeeepppp  deɛ obiara pɛ na ɔnya a anka kɔkɔsakyi ɔpɛtɛ di nankwaasehene,Positive
ah su wear   anɔpa sei “ some banku about to cry”,Positive
reading anansesɛm on    s tumblr pageit makes me so happy that my twi reading and comprehension abilities are still intact 😊,Positive
p fior lool naah  lol anoda medicine std  c dis  onipa nkyɛ na wadi amia,Positive
this is deep on many levels  owuo apakan yɛnsoa no ɔbaakofoɔ,Positive
kikirikikiri ne nua ne tenahɔkomm anappleaday,Positive
metim so  ampa o “ianpriceless every money be money  wommu kaperɛ a wonnya damma”,Positive
hmm ɛkyerɛ sɛ woreyɛ adeɛ a ɛhoo nhia — carrying coal to newcastle “  ayooonanso wob tumi ab no…,Positive
hmmm ewiem y ooecg nkurasifo no na mu ha mi    ahoɔfɛ ewiem te sɛn,Positive
“ baabiara nnwoeɛ” at all,Positive
p fior lool naah  lol anoda medicine std  c dis  onipa n,Positive
secateaurs or pruning instrument in ghana another name for it is langalanga “  whats bha”,Positive
yɛtetee me afuom ɛnti meyɛ atetekwaa     mente enyeresi papa o ah like seriously herrr,Positive
twi na metwerɛ ɛnyɛ brɔfo  medo wiase ahomatiaa  pls help me write dis in english,Positive
lol  na ɛneɛ wonte twi  i read it fine ba cudnt understand   mekɔɔ bi na manka bi a na mankɔ,Positive
yoo mate “ uncle  mepawokyew daabi ”,Positive
so if i wanna say hey booits hey mpena,Positive
na ɛneɛ wonte twi “ i read it fine ba cudnt understand   mekɔɔ bi na manka bi a na mankɔ bi koraa a na ɛyɛ”,Positive
oh charlie “  you meant to say sumn lyk dis ryt “ korɔnobɔ na ɛyɛ aniwuo na nyɛ ohia””,Positive
sanbɔɔdo “  obenfo what is  signboard in twi”,Positive
i swear down  thats deep meehnnn    sɛ deɛ nsuo yɛɛ nkyene no saa ara na awia bɛyɛ nkuto,Positive
thats nice twi “  eyepa medase”,Positive
gt deep   wobɛtwa kontompo ahurihiri deɛ ka nokwerɛ na gyina faako,Positive
sɛbe “ to sɛbe woate “ apuu wode ahyɛ me twɛmu awie no “ wordsaftersex suck my …,Neutral
"english name for apetekura fufu funu and sakraman
me folo  nti wo nso folo me
kakra biara nsua
ketewa bi tumi so sene kɛseɛ
how do you say lovelivelaugh in twi
abɔdwesɛ bɛtoo annintɔnnwi",Positive
word “ ɛka kyɛ a ɛmporɔ”,Positive
twi nsɛmfua a wohia no ni ɛɔɛɔ kora  na woretwerɛ a na woatwitwa atimtim mu   how can i get that twi keyboard,Positive
mpena “ “ how dyu say boo in twi” cc,Positive
bt real talk want to learn this badly,Positive
hmm does biribi always have to si for biribi to y yie hmmmmmm,Neutral
hahahaha  chaleu gt ghanaian language keyboard or wat   ohia yɛdi no wɔ fie na yɛnni no wɔ dwa so,Positive
na mepakyw yka alphabets w twi mu sn,Positive
hehe  yɛ me nua panyin oo  snr himself   den wiredu  panyintoto its bad learning from him,Neutral
password and code law in twi,Positive
saa woahunu “ wo y guy wate  meyɛ ɔkatakyie o “ any akatakyie on ma tl no””,Positive
sɛ ahunahuna yɛ ahoɔden a anka kraman sene kurotwiamansa leopard,Positive
ok but thought you used  i dont have the correct alphabet instead of o,Positive
this  ɔkɔmfo bɔne a watena ɔyarefoɔ ho ama ɔkɔmfo papa abɛto noo no ɛnyɛ no basabasa na ɛbia na ɔnim wakyiri adeɛ bi,Positive
hey twi prof wadup   ɛpono bi mu to a ɛpono bi bue,Positive
hmm ɛkyerɛ sɛ woreyɛ adeɛ a ɛhoo nhia — carrying coal to newcastle “  ayooonanso wob tumi ab no tfa wai”,Positive
bk s awo   mete apɔ na wo ɛ “ hey twi prof wadup   ɛpono bi mu to a ɛpono bi bue”,Positive
deep   obi nfa ne nnan mmienu nsusu asuo,Positive
it’s nice to know you have some interest in african proverbs and your following of the handle is welcome  tweets purely in twi there have been requests to translate but we believe it dilutes the purity we do respond though to individual requests for explanations,Positive
use your mind uym to choose òne,Neutral
yɛdi wo ni a if you are accorded respect di wo ho ni,Positive
loool i understand that pa but what are they trying to say,Neutral
you’re doing good follow  and  for more resources also download  twi apps by clicking this link a comprehensive course in twi asante for the nontwi learner by nkyea learning systems,Neutral
the twi ɔbenfoɔ person shark oo heerr,Neutral
ɛne mesusu sɛ autocorrect sesaa watwerɛ,Neutral
meresua twi wɔ learnakan  wo nim   snd,Neutral
not hyoa yɛ mmɔbɔ,Neutral
akoa ani ati  hes sma,Positive
why “ɛfam” and not “fɔm” or “ɛfɔm”,Neutral
me nnamfoɔ i follow several accounts that tweet primarily in swahili but for twi i have only found  suggestions,Positive
“foreigner” is also “ɔmanfrani” and “ɔpɔtɔfoɔ”,Neutral
have an answer for you on this one sunsum pɛ na honam yɛ mmerɛ  roughly  to our the spirit is willing but the flesh is weak,Neutral
the apostrophe only comes in where a singular personal pronoun me wo ɔno ɛno prece…,Neutral
sesei wobɛwo wo  you  to give bih wu  to die,Neutral
“nu”  to stir to tickle “nu nkwan no mu”  sb,Neutral
eei na me deɛ ma yɛ deɛn im only suggesting a possible cause to the problem youve noticed  besides schooling  a lot of people have no reason to write anything at all in their local languages so their writing will ceainly be influenced by the language they write more in,Positive
exactly medaase wɔhɔ,Positive
oh so eno no get sense,Negative
chewing sponge anaa  👀,Neutral
yes it is “hyoa yɛ mmɔbɔ” the original newspaper cutting didn’t use the twi characters and i want…,Neutral
thanks for promoting my app 🤗  if you have any twi related questions dont forget to ask  and,Positive
you weak me,Neutral
pls is it ntoma or  ntama,Neutral
not wonky tenten y,Neutral
nice as you are learning twi bebree is use for countable nouns pii is for uncountable so next time say medaase pii,Positive
second and final pa,Neutral
why do you equate akans to asantes ashantis only akans are akuapems akyems anyis assens attiés bonos ba…,Neutral
sɛ wotwe  keyboard firi appstore wobɛnya ghana kasa ahodoɔ atwerɛdeɛ no nyinaa bi,Neutral
it’s just the “rekɔ” that you cut down simply to kɔ,Neutral
mind you i don’t know the meaning of kɔtɔkɔ,Neutral
‘ntama’ is akuapem twi right,Neutral
anidasoɔ no aba twi should be written correctly and with the right twi alphabets government agencies especial…,Neutral
medaase a bru,Positive
he even wrote ahobrasehave you seen  in the twi alphabets before that is the stylised word this is not the classroomill say it again,Neutral
nnɛ mmerɛ yi mu deɛ ɛnyɛ den koraa sɛ wobɛtumi atwerɛ ɛ ne ɔ wokuta android a twe swiftkey firi playstore na y…,Positive
what about odamani abrante,Neutral
a s for your correction i love your tweets i always go through your akan proverbs ❤️ yɛmmoa yɛn ho ankasa 😎,Positive
not knowing what tribe he is and comfoably calling him an ewe because he has called on the kumerica noise is pa of the problem we are talking about draw the destinctions you want use all the terminologies to describe it whichever way you want  this is how it stas,Neutral
your insistence on fanti and twi being written the same as akan is worrying,Neutral
medaase ill work on it 🙏🏾,Positive
clitoris  pim ɛtwɛba,Neutral
pls it  is wonkyre  ooo,Neutral
that pa is for another day🤣🤣🤣,Neutral
nnɛ mmerɛ yi mu deɛ ɛnyɛ den koraa sɛ wobɛtumi atwerɛ ɛ ne ɔ wokuta android a twe swiftkey firi…,Neutral
the new note features another adinkra symbol — dwaninimmen dwaninimmɛn  gives the full proverb here  s translates as the ram bullies with its hea not its horns,Neutral
i have not heard krotweamansa in ages your content is really useful thank you ive always assumed krotweamansa  lion is the assumption correct,Neutral
opanin afenhyia pa o thanks you for promoting  keyboard any time you get,Positive
i used ɔmanfrani for foreigner in nkyea keyboards dictionary,Neutral
wo boa bubble kse ny duru,Neutral
merepɛ abisaa anaa nnyinnyanbɔ puzzle yi anoyie wɔ twi atwerɛeɛ mu wɔ ɛha,Neutral
anka ne kuromfour ne nabusuafour bda wase he tried correcting d tweet but was too late,Negative
ive always heard this as mete ase nso mente ase please can you explain,Negative
so what about abrokyire,Neutral
been searching for the meaning of ɔdamani since since 🙌,Neutral
sigh yoo medaase,Positive
wo maame twɛ  your mothers pussy,Negative
whats nsakasɛɛ,Neutral
can you please explain meps me te ase,Positive
clock is “dɔn”  sutvtkba,Positive
